,Strategy
num_of_long,169.0
num_of_short,0.0
total_trades,169.0
gross_profit,59.21
gross_loss,-29.49
net_profit,29.72
winners,102.0
losers,67.0
win_percentage,60.36
loss_percentage,39.64
per_trade_PnL_winners,0.58
per_trade_PnL_losers,-0.44
cumulative_return,28.1
annualised_return,52.2
annualised_volatility,14.9
max_drawdown,-7.94
sharpe_ratio,2.89
