              precision    recall  f1-score   support

           0       0.51      0.28      0.36      1420
           1       0.49      0.72      0.59      1388

    accuracy                           0.50      2808
   macro avg       0.50      0.50      0.47      2808
weighted avg       0.50      0.50      0.47      2808
