,Position,Entry Time,Entry Price,Exit Time,Exit Price,PnL
0,1.0,2023-11-16 14:45:00-05:00,176.32,2023-11-16 15:35:00-05:00,176.125,-0.19499999999999318
1,1.0,2023-11-17 09:30:00-05:00,177.75,2023-11-17 14:35:00-05:00,178.24,0.4900000000000091
2,1.0,2023-11-20 10:20:00-05:00,179.05,2023-11-20 14:00:00-05:00,179.36,0.3100000000000023
3,1.0,2023-11-20 14:05:00-05:00,179.34,2023-11-20 14:35:00-05:00,179.24,-0.09999999999999432
4,1.0,2023-11-21 09:30:00-05:00,177.98,2023-11-21 14:10:00-05:00,177.23,-0.75
5,1.0,2023-11-22 09:40:00-05:00,179.04,2023-11-22 14:30:00-05:00,177.875,-1.164999999999992
6,1.0,2023-11-22 14:35:00-05:00,177.51,2023-11-22 14:40:00-05:00,177.72,0.21000000000000796
7,1.0,2023-11-24 11:50:00-05:00,179.054,2023-11-24 12:20:00-05:00,179.235,0.1810000000000116
8,1.0,2023-11-27 09:30:00-05:00,178.06,2023-11-27 14:00:00-05:00,178.79,0.7299999999999898
9,1.0,2023-11-28 10:40:00-05:00,178.57,2023-11-28 15:00:00-05:00,178.185,-0.3849999999999909
10,1.0,2023-11-29 09:55:00-05:00,181.58,2023-11-29 14:45:00-05:00,179.565,-2.015000000000015
11,1.0,2023-11-30 10:35:00-05:00,179.745,2023-11-30 15:15:00-05:00,179.54,-0.2050000000000125
12,1.0,2023-12-01 10:00:00-05:00,180.78,2023-12-04 09:30:00-05:00,185.26,4.47999999999999
13,1.0,2023-12-04 10:10:00-05:00,185.95,2023-12-04 15:10:00-05:00,186.64,0.6899999999999977
14,1.0,2023-12-05 09:35:00-05:00,185.12,2023-12-05 15:50:00-05:00,184.325,-0.7950000000000159
15,1.0,2023-12-06 09:30:00-05:00,186.01,2023-12-06 09:45:00-05:00,186.73,0.7199999999999989
16,1.0,2023-12-06 09:55:00-05:00,187.34,2023-12-06 14:50:00-05:00,185.285,-2.055000000000007
17,1.0,2023-12-06 14:55:00-05:00,185.13,2023-12-06 15:20:00-05:00,184.18,-0.9499999999999886
18,1.0,2023-12-07 09:50:00-05:00,184.85,2023-12-07 15:10:00-05:00,185.025,0.17500000000001137
19,1.0,2023-12-08 10:00:00-05:00,187.42,2023-12-08 15:10:00-05:00,186.895,-0.5249999999999773
20,1.0,2023-12-11 12:10:00-05:00,186.57,2023-12-11 12:15:00-05:00,186.59,0.020000000000010232
21,1.0,2023-12-11 12:35:00-05:00,186.86,2023-12-11 14:30:00-05:00,187.34,0.47999999999998977
22,1.0,2023-12-12 09:45:00-05:00,185.8096,2023-12-12 13:50:00-05:00,187.09,1.2804000000000144
23,1.0,2023-12-13 09:30:00-05:00,187.44,2023-12-13 09:35:00-05:00,187.0,-0.4399999999999977
