,pct_change,pct_change5,rsi,adx,corr,volatility,volatility2
2023-04-24 13:50:00-04:00,0.0006205613797769516,0.001806331471135847,56.723940883086776,10.653166906499395,-0.6415004656087411,0.05523663830964313,0.09021130444298349
2023-04-24 13:55:00-04:00,0.00011209366749631577,0.0018055633922022807,57.05846464644733,10.88696409582555,-0.57616533584151,0.05467685871120455,0.08973757062043046
2023-04-24 14:00:00-04:00,-0.0001689664883131048,0.0010714487114418247,56.37523119407827,11.126762543603483,-0.45106136322283846,0.05161497659755437,0.08346688797992993
2023-04-24 14:05:00-04:00,-0.0011829652996845352,-0.0006199977454626193,51.854900330875296,10.975901216062839,-0.3161444604205557,0.057959001119796266,0.08414332404790992
2023-04-24 14:10:00-04:00,-0.00039478878799836803,-0.001014541765302579,50.45248536502452,10.692326778243054,-0.21430844366738305,0.05620196724813492,0.0842229064779303
2023-04-24 14:15:00-04:00,-0.00016926201760325554,-0.0018030745208840182,49.851557942248206,10.302845692192182,-0.04825877956956104,0.054101159860403404,0.08413613405347259
2023-04-24 14:20:00-04:00,-0.00033858134416797636,-0.0022528865108421003,48.64637418733276,9.9283446479125,0.1299142650593488,0.054550996358459516,0.08388252722462851
2023-04-24 14:25:00-04:00,0.0002540220152411621,-0.0018307796304642965,49.59681938198166,9.658533002787347,0.32049198169507037,0.05458380966245315,0.08400587463369491
2023-04-24 14:30:00-04:00,-0.0003103925054318557,-0.0009587727708534333,48.45684622007863,9.435414173051624,0.3774103026082007,0.05059991165362101,0.0815956224586556
2023-04-24 14:35:00-04:00,-0.00042339392570844847,-0.000987361769352324,46.9271783130101,9.257903095190382,0.3445847359354596,0.050549910209683385,0.08114835521455006
2023-04-24 14:40:00-04:00,0.0004235732640553991,-0.00039501156819610195,48.61419174883568,9.124948205630801,0.3204601462116061,0.051129847977572654,0.08118841355429407
2023-04-24 14:45:00-04:00,0.00011572767302703291,5.927180355635997e-05,49.074351750884986,8.93271731872753,0.2887260035266583,0.04760249844852568,0.08124659045298692
2023-04-24 14:50:00-04:00,0.00016651567364056596,-2.82175004937546e-05,49.74782757410678,8.610000562842082,0.2507715940234852,0.04592432671504118,0.08113173833857355
2023-04-24 14:55:00-04:00,5.643659348719687e-05,0.00033871514056671437,49.981029170331894,8.299695989875305,0.20951625619161496,0.045847362203149465,0.07637483145378184
2023-04-24 15:00:00-04:00,0.00039503386004535734,0.001157766921751957,51.6156352150864,8.129087189734737,0.17240465565344607,0.04606323289545648,0.059387851384267
2023-04-24 15:05:00-04:00,0.0002820556213685155,0.0010161454217003651,52.76239259834065,8.047420467993005,0.15360577290528554,0.04593702156564056,0.05909602552760343
2023-04-24 15:10:00-04:00,0.0006203473945409765,0.0015212194591909256,55.19222277701557,8.240084815676612,0.1403273635451751,0.046860496081938714,0.05968754102526744
2023-04-24 15:15:00-04:00,-0.000733246914276009,0.0006202381624245135,51.907945468029496,8.196035013709984,0.026403189938280978,0.04807934671750628,0.056916751588938996
2023-04-24 15:20:00-04:00,-5.5837594945207236e-05,0.0005079006772008565,51.66464294948023,8.153679434895919,-0.04694708624618848,0.04490633635742252,0.056923625448102415
2023-04-24 15:25:00-04:00,0.00011280952112358023,0.00022564449709472356,52.135999879022435,8.153294743387475,-0.16873265859394956,0.04443328237589324,0.05636563360331919
2023-04-24 15:30:00-04:00,0.00016919519485636414,0.00011279043537104627,52.85323486109882,8.173544707865561,-0.29459255065100903,0.044433030097106294,0.05388963560138692
2023-04-24 15:35:00-04:00,-0.00039472200293222404,-0.0009017640759736434,50.99875479486835,7.987932912637697,-0.3772552246324446,0.04304044977093391,0.05424512838894741
2023-04-24 15:40:00-04:00,-0.0001128222485474728,-0.00028144403916763316,50.47253040952747,7.809460032610904,-0.4640446049868105,0.04305879847117415,0.05370373995767972
2023-04-24 15:45:00-04:00,0.0011283497884344573,0.0009024761689886418,55.27230911188459,7.906953189582983,-0.39811792739539387,0.047213226866379694,0.0555656248110318
2023-04-24 15:50:00-04:00,-0.0007044237813468301,8.459759742818207e-05,51.99689765609416,8.000696609748443,-0.3324217361741483,0.048241819571399884,0.0534790912220998
2023-04-24 15:55:00-04:00,0.0005921330889611109,0.0005074997180556373,54.35965850417529,8.154437085537932,-0.21142838488317,0.04971753001350378,0.05276856645784362
2023-04-25 09:30:00-04:00,-0.009524883052471345,-0.008630902013877173,29.803870589352115,9.725121804268857,-0.04818644474987056,0.1924634326189984,0.14307565353451668
2023-04-25 09:35:00-04:00,-0.0012518493228632632,-0.0097602256699576,28.086201587477422,11.235395572279362,0.1981825987141875,0.19290436311409082,0.14362429378714758
2023-04-25 09:40:00-04:00,0.00045578851412941823,-0.010425471963933508,29.620167412336922,12.787290681793383,0.4759499591601696,0.19364366903401842,0.14355578558646306
2023-04-25 09:45:00-04:00,-0.0036446469248291313,-0.013337092908501269,25.155756471400203,14.508059602993074,0.7125984033199461,0.20331826379143886,0.15166724025932748
2023-04-25 09:50:00-04:00,0.002572016460905324,-0.011384771459167053,32.58583946711061,16.16264510414662,0.7951051840004268,0.21213103243342404,0.15560247417474898
2023-04-25 09:55:00-04:00,-0.00045493415426722805,-0.0023318538750427553,31.999959819568158,17.631003593839168,0.8320865602686696,0.21208237360730112,0.15546586465797513
2023-04-25 10:00:00-04:00,0.0006832821727231764,-0.00039881494986337973,33.85670618376543,18.612557967829655,0.8365054678230651,0.21316010000204194,0.15589242246034624
2023-04-25 10:05:00-04:00,-0.0006839555428895805,-0.0015375854214122464,32.920298550479544,19.556360250512817,0.8413338322864059,0.21285770254253125,0.15606725795265225
